k,rep,target_R,min_target_allocation,max_target_allocation,has_negative_target_allocation,max_allocation_error,max_transfer_error,corner_error,pot_conservation_error,planted_zero_sum_error
3,34,0.856042526487347,-0.32226850277291935,1.1893758598206803,True,1.3322676295501878e-15,1.3322676295501878e-15,0.0,6.661338147750939e-16,5.551115123125783e-17
3,35,0.3488073535782418,0.11571424832326396,0.6821406869115751,False,7.771561172376096e-16,7.216449660063518e-16,0.0,6.661338147750939e-16,0.0
3,36,0.5645361867671634,-0.11830810764485761,0.8978695201004967,True,8.881784197001252e-16,8.881784197001252e-16,0.0,5.551115123125783e-16,5.551115123125783e-17
3,37,0.670291960138295,-0.3369586268049615,0.8561485227818628,True,9.992007221626409e-16,9.992007221626409e-16,0.0,6.661338147750939e-16,1.3877787807814457e-16
3,38,0.1425276741379598,0.20327969366938056,0.4758610074712931,False,3.885780586188048e-16,3.885780586188048e-16,0.0,6.661338147750939e-16,8.673617379884035e-18
3,39,0.5030231146042063,-0.16968978127087303,0.6129803709194113,True,5.551115123125783e-16,4.996003610813204e-16,0.0,5.551115123125783e-16,0.0
3,40,0.33734913073672573,0.12053662381408634,0.670682464070059,False,5.551115123125783e-16,4.996003610813204e-16,0.0,4.440892098500626e-16,8.326672684688674e-17
3,41,0.26933866475133084,0.09079610641867578,0.6026719980846641,False,5.551115123125783e-16,5.551115123125783e-16,2.220446049250313e-16,5.551115123125783e-16,1.3877787807814457e-16
3,42,0.2193263086301499,0.11400702470318341,0.4668111584991861,False,3.3306690738754696e-16,3.469446951953614e-16,0.0,6.661338147750939e-16,2.7755575615628914e-17
3,43,0.5476765362969743,-0.214343202963641,0.8339837737616949,True,7.771561172376096e-16,8.881784197001252e-16,0.0,6.661338147750939e-16,1.3877787807814457e-17
3,44,0.6179059616683431,-0.009474991629520924,0.9512392950016764,True,9.992007221626409e-16,1.1102230246251565e-15,0.0,6.661338147750939e-16,0.0
3,45,0.5910907401992708,-0.25775740686593746,0.7704884162467833,True,8.881784197001252e-16,8.881784197001252e-16,2.220446049250313e-16,8.881784197001252e-16,1.1102230246251565e-16
3,46,0.9923994529929255,-0.255748340358163,1.325732786326259,True,1.7763568394002505e-15,1.7763568394002505e-15,0.0,6.661338147750939e-16,2.220446049250313e-16
3,47,0.1748576392270768,0.16603289173738514,0.5081909725604101,False,4.440892098500626e-16,4.440892098500626e-16,0.0,6.661338147750939e-16,0.0
3,48,0.8864848796577843,-0.553151546324451,1.0573012575776688,True,8.881784197001252e-16,9.992007221626409e-16,0.0,2.220446049250313e-16,0.0
3,49,0.6995663370556281,-0.36623300372229467,0.8788627939649343,True,9.992007221626409e-16,9.992007221626409e-16,0.0,6.661338147750939e-16,5.551115123125783e-17
3,50,0.7347506309982466,-0.3191429299434608,1.0680839643315798,True,1.1102230246251565e-15,9.992007221626409e-16,0.0,5.551115123125783e-16,1.1102230246251565e-16
3,51,0.8207040511114144,-0.41098810083325804,1.1540373844447478,True,1.1102230246251565e-15,9.992007221626409e-16,4.440892098500626e-16,4.440892098500626e-16,1.1102230246251565e-16
3,52,0.5393513656763387,-0.04069390277720014,0.8726846990096719,True,7.771561172376096e-16,7.771561172376096e-16,0.0,5.551115123125783e-16,1.1102230246251565e-16
3,53,0.4305248995395361,-0.09719156620620273,0.7227347010030354,True,7.771561172376096e-16,7.771561172376096e-16,0.0,6.661338147750939e-16,5.551115123125783e-17
3,54,0.2978199426682106,0.038844923012405885,0.6311532760015439,False,4.440892098500626e-16,4.440892098500626e-16,0.0,3.3306690738754696e-16,0.0
3,55,0.19626684764498437,0.2289283369007563,0.5296001809783176,False,4.440892098500626e-16,4.718447854656915e-16,0.0,6.661338147750939e-16,2.7755575615628914e-17
3,56,0.45515174253338875,0.050470430596295246,0.7884850758667221,False,7.771561172376096e-16,7.216449660063518e-16,0.0,5.551115123125783e-16,0.0
3,57,0.5617174093214535,0.04309368911338407,0.8950507426547869,False,7.771561172376096e-16,7.771561172376096e-16,0.0,4.440892098500626e-16,5.551115123125783e-17
3,58,0.6130181899142235,-0.054302521202528875,0.9463515232475568,True,9.992007221626409e-16,1.1102230246251565e-15,0.0,6.661338147750939e-16,5.551115123125783e-17
3,59,0.19764800645776975,0.19806294674164418,0.5309813397911031,False,5.551115123125783e-16,5.551115123125783e-16,0.0,6.661338147750939e-16,0.0
3,60,0.34459186515941115,-0.011258531826077611,0.6762234368897747,True,6.661338147750939e-16,6.44883452194378e-16,2.220446049250313e-16,6.661338147750939e-16,4.2283884726934673e-16
