family,seed,audit_id,official_test_index,true_class_id,output_scale_s,resolved,certification_pass,quadrature_order,numerical_tolerance,nested_quadrature_error,endpoint_change,R,D,H,chi,R_over_s,D_over_s,H_over_s,max_abs_transfer_entry,pot_conservation_error,bshap_reconstruction_error,ig_reconstruction_error,bshap_completeness_error,ig_completeness_error,margin_gap_error,interior_mobius_reconstruction_error,pot_order1_L1_over_s,pot_order1_max_abs_over_s,pot_order2_L1_over_s,pot_order2_max_abs_over_s,pot_order3_L1_over_s,pot_order3_max_abs_over_s,pot_order4_L1_over_s,pot_order4_max_abs_over_s,pot_order5_L1_over_s,pot_order5_max_abs_over_s,pot_order6_L1_over_s,pot_order6_max_abs_over_s,pot_order7_L1_over_s,pot_order7_max_abs_over_s,pot_order8_L1_over_s,pot_order8_max_abs_over_s,max_abs_pot_order_ge2_over_s,max_abs_pot_order_ge3_over_s
additive,20260924,31,3313,3,18.824564473822164,True,True,64,1.8824564473822165e-07,2.2750690220618708e-12,1.343943232148023,1.9897800338614367e-13,4.154480992028875e-15,1.948235223941148e-13,,1.0570125203313292e-14,2.2069466721560457e-16,1.0349430536097686e-14,3.9968028886505635e-15,1.304512053934559e-14,4.440892098500626e-15,0.0,1.7763568394002505e-15,8.43769498715119e-15,4.7520188842110575e-15,4.884981308350689e-15,0.7639255130828544,0.19613328764862956,1.1087742769283323e-15,1.4154565237382966e-16,3.078617939130795e-15,1.651365944361346e-16,5.083848014426715e-15,2.123184785607445e-16,5.43771214536129e-15,2.5950036268535437e-16,3.2555500045980823e-15,2.830913047476593e-16,1.651365944361346e-15,3.774550729968791e-16,6.723418487756909e-16,6.723418487756909e-16,6.723418487756909e-16,6.723418487756909e-16
additive,20260924,32,5269,3,18.824564473822164,True,True,32,1.8824564473822165e-07,2.7141927594342974e-11,8.404835238592527,1.9681201113286305e-13,4.930051076374161e-15,1.918819600564889e-13,,1.0455063191849881e-14,2.618945624601299e-16,1.0193168629389752e-14,2.6645352591003757e-15,7.105427357601002e-15,7.105427357601002e-15,0.0,5.329070518200751e-15,1.7763568394002505e-15,6.750684667351725e-15,3.552713678800501e-15,0.5466135840696807,0.1573793669581243,1.1323652189906373e-15,1.4154565237382966e-16,3.0904134101619475e-15,2.830913047476593e-16,4.623824644211769e-15,3.774550729968791e-16,5.685417037015491e-15,3.302731888722692e-16,3.656596019657266e-15,3.5386413093457416e-16,1.5098202919875164e-15,3.5386413093457416e-16,1.179547103115247e-16,1.179547103115247e-16,3.774550729968791e-16,3.774550729968791e-16
additive,20260924,33,5365,3,18.824564473822164,True,True,32,1.8824564473822165e-07,1.4033618711550844e-10,3.727572178827163,2.3094347201797695e-13,4.013291022260325e-15,2.269301809957166e-13,,1.2268197351345461e-14,2.1319436249594469e-16,1.2055002988849516e-14,3.0531133177191805e-15,8.382183835919932e-15,3.1086244689504383e-15,0.0,4.440892098500626e-15,1.3322676295501878e-15,2.621183693376917e-15,3.552713678800501e-15,0.25681240739723316,0.10687256623732837,1.203138045177552e-15,1.4154565237382966e-16,3.373504714909607e-15,2.359094206230494e-16,5.685417037015491e-15,3.302731888722692e-16,6.935736966317653e-15,3.302731888722692e-16,4.906915948959428e-15,4.482278991837939e-16,1.7457297126105659e-15,4.482278991837939e-16,0.0,0.0,4.482278991837939e-16,4.482278991837939e-16
additive,20260924,34,6132,3,18.824564473822164,True,True,32,1.8824564473822165e-07,3.019806626980426e-14,3.212797540336429,1.4971185666840234e-13,2.583251073368891e-15,1.4712860559503346e-13,,7.953005068276336e-15,1.3722766744278277e-16,7.815777400833554e-15,1.5543122344752192e-15,6.661338147750939e-15,2.6645352591003757e-15,0.0,7.105427357601002e-15,8.881784197001252e-16,2.541882048760834e-15,3.552713678800501e-15,0.30517881873175345,0.08900880661113868,6.605463777445384e-16,7.077282618691483e-17,1.7929115967351756e-15,9.436376824921978e-17,3.774550729968791e-15,1.4154565237382966e-16,4.505869933900244e-15,2.123184785607445e-16,3.1140043522242526e-15,3.5386413093457416e-16,1.3446836975513818e-15,2.5950036268535437e-16,2.359094206230494e-16,2.359094206230494e-16,3.5386413093457416e-16,3.5386413093457416e-16
additive,20260924,35,6433,3,18.824564473822164,True,True,32,1.8824564473822165e-07,6.047437550726897e-11,0.9747814157139505,1.7627050612795916e-13,2.074663192564414e-15,1.7419584293539474e-13,,9.363855741421515e-15,1.1021042189047636e-16,9.25364531953104e-15,1.4710455076283324e-15,6.744604874597826e-15,2.4424906541753444e-15,0.0,4.6629367034256575e-15,4.440892098500626e-16,1.822351793277578e-15,3.552713678800501e-15,0.392335065212147,0.16755524439792113,8.610693852741305e-16,1.4154565237382966e-16,2.7129583371650683e-15,1.8872753649843955e-16,4.8479385938036655e-15,2.359094206230494e-16,5.3905302612366795e-15,3.302731888722692e-16,3.5150503672834365e-15,3.0668224680996426e-16,8.964557983675878e-16,3.774550729968791e-16,9.436376824921978e-17,9.436376824921978e-17,3.774550729968791e-16,3.774550729968791e-16
additive,20260924,36,8177,3,18.824564473822164,True,True,32,1.8824564473822165e-07,1.059035525940999e-08,10.719823962209453,2.309259926138095e-13,1.866892883670278e-15,2.290590997301392e-13,,1.2267268809057444e-14,9.917323113989801e-17,1.2168095577917547e-14,2.854859206178974e-15,1.4627188349436437e-14,6.661338147750939e-15,0.0,1.7763568394002505e-15,3.552713678800501e-15,6.7919215225520895e-15,3.552713678800501e-15,0.6245134784224411,0.19557399410970047,1.1795471031152472e-15,1.4154565237382966e-16,3.019640583975033e-15,2.359094206230494e-16,5.921326457638541e-15,2.830913047476593e-16,6.086463052074675e-15,3.302731888722692e-16,4.529460875962549e-15,4.718188412460988e-16,2.028821017358225e-15,7.313192039314533e-16,7.077282618691483e-17,7.077282618691483e-17,7.313192039314533e-16,7.313192039314533e-16
additive,20260924,37,8415,3,18.824564473822164,True,True,32,1.8824564473822165e-07,2.547131949803827e-11,5.741131549744072,2.432061166214253e-13,2.4251764617674996e-15,2.407809401596578e-13,,1.291961452598985e-14,1.2883041544679565e-16,1.2790784110543053e-14,1.9984014443252818e-15,1.0408340855860843e-14,1.3322676295501878e-15,0.0,1.7763568394002505e-15,0.0,1.5299930634596202e-15,3.552713678800501e-15,0.3476958255203936,0.10688147146640334,1.5334112340498214e-15,1.4154565237382966e-16,4.175596745027975e-15,2.359094206230494e-16,6.652645661569994e-15,3.302731888722692e-16,7.030100734566873e-15,5.190007253707087e-16,4.741779354523293e-15,5.190007253707087e-16,1.674956886423651e-15,5.661826094953186e-16,3.302731888722692e-16,3.302731888722692e-16,5.661826094953186e-16,5.661826094953186e-16
additive,20260924,38,8439,3,18.824564473822164,True,True,32,1.8824564473822165e-07,3.5851057678115694e-09,8.875807268329915,3.1440868427286735e-13,3.795244541918023e-15,3.106134397309493e-13,,1.6702042945540157e-14,2.0161128015449015e-16,1.6500431665385667e-14,2.7200464103316335e-15,1.607047828144914e-14,3.552713678800501e-15,0.0,0.0,3.552713678800501e-15,3.20695850827438e-15,3.552713678800501e-15,0.5265554780424655,0.17960914986150206,1.4626384078629065e-15,2.359094206230494e-16,4.529460875962549e-15,3.774550729968791e-16,8.25682972180673e-15,4.24636957121489e-16,9.813831897918856e-15,6.133644936199285e-16,6.558281893320774e-15,8.49273914242978e-16,1.9344572491090053e-15,5.661826094953186e-16,3.302731888722692e-16,3.302731888722692e-16,8.49273914242978e-16,8.49273914242978e-16
additive,20260924,39,8661,3,18.824564473822164,True,True,32,1.8824564473822165e-07,7.878768748526e-09,13.47989511419923,2.565646108264121e-13,3.33066907387547e-15,2.532339417525366e-13,,1.362924550967414e-14,1.769320654672871e-16,1.3452313444206854e-14,3.1720657846433046e-15,1.892930256985892e-14,7.105427357601002e-15,0.0,1.0658141036401503e-14,3.552713678800501e-15,6.453567838856804e-15,3.552713678800501e-15,0.7334360461413961,0.32287394407694814,1.3682746396136867e-15,1.179547103115247e-16,3.349913772847302e-15,1.8872753649843955e-16,5.543871384641662e-15,2.5950036268535437e-16,6.463918125071554e-15,5.425916674330137e-16,5.1900072537070875e-15,5.897735515576236e-16,2.547821742728934e-15,1.0144105086791125e-15,2.5950036268535437e-16,2.5950036268535437e-16,1.0144105086791125e-15,1.0144105086791125e-15
additive,20260924,40,239,4,18.824564473822164,True,True,32,1.8824564473822165e-07,3.1540868361545904e-08,-0.6876044938437822,2.8035880495465227e-13,4.941021137212721e-15,2.7541778381743956e-13,,1.4893242568481473e-14,2.6247731489797856e-16,1.4630765253583495e-14,4.440892098500626e-15,1.0436096431476471e-14,4.440892098500626e-15,0.0,1.4210854715202004e-14,5.329070518200751e-15,5.195843755245732e-15,1.7763568394002505e-15,0.7717561205970657,0.20537574397811223,1.4154565237382966e-15,1.8872753649843955e-16,3.727368845844181e-15,2.830913047476593e-16,6.9829188504422635e-15,3.774550729968791e-16,8.020920301183681e-15,4.24636957121489e-16,5.567462326703967e-15,5.661826094953186e-16,2.3119123221058844e-15,4.718188412460988e-16,2.830913047476593e-16,2.830913047476593e-16,5.661826094953186e-16,5.661826094953186e-16
additive,20260924,41,1142,4,18.824564473822164,True,True,32,1.8824564473822165e-07,2.7133850721838826e-13,-5.256574252046816,2.4171273448389673e-13,1.89821703329363e-15,2.398145174506031e-13,,1.2840282962191639e-14,1.0083723508893556e-16,1.2739445727102703e-14,2.220446049250313e-15,1.1546319456101628e-14,8.881784197001252e-15,0.0,1.2434497875801753e-14,1.7763568394002505e-15,9.514082643406818e-15,1.7763568394002505e-15,0.49504902825167346,0.22898946443954515,1.698547828485956e-15,1.4154565237382966e-16,3.8689144982180105e-15,1.8872753649843955e-16,5.756189863202406e-15,2.830913047476593e-16,6.794191313943824e-15,4.718188412460988e-16,5.001279717208648e-15,6.133644936199285e-16,1.7457297126105659e-15,5.190007253707087e-16,9.436376824921978e-17,9.436376824921978e-17,6.133644936199285e-16,6.133644936199285e-16
