audit_id,dataset_index,target,mlp_median_D_over_s,mlp_median_H_over_s,mlp_median_chi,mlp_visible_seed_count,mlp_material_seed_count,mlp_fc_seed_count,crossnet_median_D_over_s,crossnet_median_H_over_s,crossnet_median_chi,crossnet_visible_seed_count,crossnet_material_seed_count,crossnet_fc_seed_count,delta_H_mlp_minus_crossnet,delta_D_mlp_minus_crossnet,shared_fc_any
55,8280,1.986,0.2069671105142842,3.2398882449578124,0.9523958005647942,0,5,0,0.0573632040440019,0.4587721247742931,0.883146336085421,0,5,0,2.781116120183519,0.14960390647028232,False
56,15471,1.99,0.1833511112548789,2.2332530104286974,0.9497607940253704,0,5,0,0.094710608415347,0.3989156314601814,0.8182320654378697,0,5,0,1.834337378968516,0.08864050283953191,False
57,11110,2.013,0.2428808308035752,2.6545764811577586,0.9161744920966012,0,5,0,0.0518850023886803,0.4156698222807398,0.8885024199207785,0,5,0,2.238906658877019,0.1909958284148949,False
58,14292,2.032,0.2422273029378433,5.976219904230407,0.9630396199916392,0,5,0,0.1318609448391702,1.4294661116679046,0.9057348487832731,0,5,0,4.546753792562503,0.1103663580986731,False
59,1456,2.041,0.0983659170418112,0.2465769359860141,0.7239818979491571,0,5,0,0.1649362693510108,0.1734660826239978,0.4408416761713459,0,5,0,0.07311085336201631,-0.0665703523091996,False
60,15570,2.109,0.1351683238128004,1.345529373611229,0.9168823899749732,0,5,0,0.0978469165882332,0.3024154029425767,0.743226482238445,0,5,0,1.0431139706686523,0.037321407224567185,False
61,15883,2.173,0.8057851827884581,1.4366310182568842,0.6269133034493052,0,5,0,0.1912757597802891,0.5808762529035525,0.7429312615730728,0,5,0,0.8557547653533317,0.614509423008169,False
62,16663,2.193,0.0773477233648907,0.7212519337895896,0.8980744689975779,0,5,0,0.0398014209461916,0.1024148618570692,0.7646107658390358,0,5,0,0.6188370719325205,0.03754630241869909,False
63,11025,2.223,0.215561584732451,1.3151144221788238,0.8591722978872393,0,5,0,0.0822521696332616,0.3852999967165923,0.8316759451005835,0,5,0,0.9298144254622315,0.1333094150991894,False
64,17449,2.231,0.0846796473000952,2.8922147312268303,0.972902684797523,0,5,0,0.0521489882130586,0.3055217109526622,0.8864587057100745,1,5,1,2.586693020274168,0.0325306590870366,False
65,11267,2.256,0.2176605676207253,1.2642133749479458,0.8981342201285535,0,5,0,0.078916772080593,0.2356535408741233,0.7742477881685494,0,5,0,1.0285598340738225,0.1387437955401323,False
66,8013,2.262,0.1760112859609278,1.822092585817571,0.9025622462049312,0,5,0,0.0740570109176605,0.284217294578102,0.7957128490675097,0,5,0,1.5378752912394689,0.1019542750432673,False
67,10222,2.296,0.1731337730902397,2.0016032625384232,0.922425177867759,0,5,0,0.0577992559572902,0.2951005677907189,0.8434985843946056,0,5,0,1.7065026947477042,0.1153345171329495,False
68,13255,2.305,0.1230617070667515,0.89292162632711,0.8944687249123735,0,5,0,0.0326802920022961,0.0985114885524018,0.75409195511585,1,5,1,0.7944101377747083,0.0903814150644554,False
69,6618,2.306,0.2029311510082582,0.9957827916802724,0.7896616158028774,0,5,0,0.0426436916262896,0.1389753077231422,0.7852950640382607,0,5,0,0.8568074839571302,0.1602874593819686,False
70,15039,2.414,0.1915540467557462,1.5740503215421568,0.9179096175297792,0,5,0,0.0844362503551095,0.4313211812066223,0.8260380445151305,0,5,0,1.1427291403355346,0.10711779640063669,False
71,19348,2.446,0.1588769856303667,0.7065220330537109,0.8955592423737953,0,5,0,0.3235175629308002,0.5298478702032304,0.5232030696682674,0,5,0,0.17667416285048043,-0.1646405773004335,False
72,11032,2.48,0.125164233462058,0.3405228027216928,0.7312267172224424,0,5,0,0.0346580159725213,0.0664304662500368,0.6501418479410701,1,4,1,0.274092336471656,0.09050621748953669,False
73,19241,2.542,0.1666486909334141,3.414509122338695,0.967065999593954,0,5,0,0.3592332125698532,1.7435583914093584,0.791662725012241,0,5,0,1.6709507309293365,-0.19258452163643908,False
74,16647,2.589,0.0780672675456831,0.3507996661641349,0.8258995908519461,0,5,0,0.0166962256481619,0.0383749658567416,0.7104989848494717,3,2,1,0.3124247003073933,0.061371041897521204,False
